symbol,companyName
ABB,ABB
ACC,ACC
ADANIPORTS,ADANIPORTS
AMBUJACEM,AMBUJACEM
APOLLOHOSP,APOLLOHOSP
ASIANPAINT,ASIANPAINT
AXISBANK,AXISBANK
BAJAJFINSV,BAJAJFINSV
BAJFINANCE,BAJFINANCE
BERGEPAINT,BERGEPAINT
BHARTIARTL,BHARTIARTL
CIPLA,CIPLA
COALINDIA,COALINDIA
DIVISLAB,DIVISLAB
DLF,DLF
DRREDDY,DRREDDY
GAIL,GAIL
GODREJCP,GODREJCP
GRASIM,GRASIM
HAVELLS,HAVELLS
HCLTECH,HCLTECH
HDFCBANK,HDFCBANK
HINDUNILVR,HINDUNILVR
ICICIBANK,ICICIBANK
INDIGO,INDIGO
INFY,INFY
ITC,ITC
KOTAKBANK,KOTAKBANK
LT,LT
M&M,M&M
MARUTI,MARUTI
NESTLEIND,NESTLEIND
NTPC,NTPC
ONGC,ONGC
PIDILITIND,PIDILITIND
POWERGRID,POWERGRID
RELIANCE,RELIANCE
SBIN,SBIN
SIEMENS,SIEMENS
SUNPHARMA,SUNPHARMA
TATACONSUM,TATACONSUM
TMPV,TATAMOTORS
TATASTEEL,TATASTEEL
TCS,TCS
TECHM,TECHM
TITAN,TITAN
TORNTPHARM,TORNTPHARM
ULTRACEMCO,ULTRACEMCO
VEDL,VEDL
WIPRO,WIPRO
